id, name, repeat, fs_algorithm, fs_type, fs_count
1, "Ben's top 10", 1, "BEN", "Top", 10
2, "Ben's top 25", 1, "BEN", "Top", 25
3, "Ben's top 50", 1, "BEN", "Top", 50
4, "Ben's top 100", 1, "BEN", "Top", 100
5, "Ben's top 200", 1, "BEN", "Top", 200
6, "Ben's random 500", 1, "BEN", "Random", 500
7, "Ben's random 1000", 1, "BEN", "Random", 1000
8, "Ben's random 2000", 1, "BEN", "Random", 2000
9, "Ben's random 5000", 1, "BEN", "Random", 5000
10, "Ben's all", 1, "BEN", "All", -1
11, "Relief F with K=20 top 10", 1, "RELIEFF", "Top", 10
12, "Relief F with K=20 top 25", 1, "RELIEFF", "Top", 25
13, "Relief F with K=20 top 50", 1, "RELIEFF", "Top", 50
14, "Relief F with K=20 top 100", 1, "RELIEFF", "Top", 100
15, "Relief F with K=20 top 200", 1, "RELIEFF", "Top", 200
16, "Relief F with K=20 top 500", 1, "RELIEFF", "Top", 500
